id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,100,124.12136409227683,100.0,100.0
2,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,100,131.21063189568707,100.0,100.0
3,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,100,164.31946755407654,100.0,100.0
6,COMP_M,5,5_0,M.USER.APP.5,5,16,4,4,None,66.65224625623961,100,166.6522462562396,100.0,100.0
8,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,100,153.58779576587796,100.0,100.0
4,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,109.00007373029334,142.00007373029334,100.0,109.00007373029334
5,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,109.00008680546668,143.85200028300412,100.0,109.00008680546668
9,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,115.00009370682666,156.02624563708818,100.0,115.00009370682666
11,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,117.00010475575999,156.10742672165767,100.0,117.00010475575999
10,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,121.00017457501335,199.4394424618686,100.0,121.00017457501335
7,COMP_M,5,5_0,M.USER.APP.5,6,16,6,4,None,66.65224625623961,166.6522462562396,233.30449251247921,100.0,115.00012145162668
12,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,200,224.12136409227682,200.0,200.0
13,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,200,231.21063189568707,200.0,200.0
14,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,200,264.31946755407654,200.0,200.0
19,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,200,253.58779576587796,200.0,200.0
15,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,209.0000737302933,242.0000737302933,200.0,209.0000737302933
16,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,209.00008680546665,243.8520002830041,200.0,209.00008680546665
20,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,215.00009370682668,256.0262456370882,200.0,215.00009370682668
22,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,217.00010475576,256.1074267216577,200.0,217.00010475576
21,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,221.00017457501332,299.43944246186857,200.0,221.00017457501332
17,COMP_M,5,5_0,M.USER.APP.5,5,16,4,4,None,66.65224625623961,233.30449251247921,299.9567387687188,200.0,200.0
18,COMP_M,5,5_0,M.USER.APP.5,6,16,6,4,None,66.65224625623961,299.9567387687188,366.60898502495843,200.0,215.00012145162665
23,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,300,324.12136409227685,300.0,300.0
24,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,300,331.2106318956871,300.0,300.0
25,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,300,364.31946755407654,300.0,300.0
30,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,300,353.58779576587796,300.0,300.0
26,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,309.00007373029337,342.00007373029337,300.0,309.00007373029337
27,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,309.0000868054667,343.85200028300414,300.0,309.0000868054667
31,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,315.0000937068267,356.0262456370882,300.0,315.0000937068267
33,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,317.00010475576005,356.10742672165776,300.0,317.00010475576005
32,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,321.0001745750134,399.4394424618686,300.0,321.0001745750134
28,COMP_M,5,5_0,M.USER.APP.5,5,16,4,4,None,66.65224625623961,366.60898502495843,433.26123128119804,300.0,300.0
34,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,400,424.12136409227685,400.0,400.0
35,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,400,431.2106318956871,400.0,400.0
36,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,400,464.31946755407654,400.0,400.0
41,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,400,453.58779576587796,400.0,400.0
37,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,409.00007373029337,442.00007373029337,400.0,409.00007373029337
38,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,409.0000868054667,443.85200028300414,400.0,409.0000868054667
42,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,415.0000937068267,456.0262456370882,400.0,415.0000937068267
44,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,417.00010475576005,456.10742672165776,400.0,417.00010475576005
43,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,421.0001745750134,499.4394424618686,400.0,421.0001745750134
29,COMP_M,5,5_0,M.USER.APP.5,6,16,6,4,None,66.65224625623961,433.26123128119804,499.91347753743764,300.0,315.0001214516267
39,COMP_M,5,5_0,M.USER.APP.5,5,16,4,4,None,66.65224625623961,499.91347753743764,566.5657237936773,400.0,400.0
45,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,500,524.1213640922768,500.0,500.0
46,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,500,531.210631895687,500.0,500.0
47,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,500,564.3194675540765,500.0,500.0
52,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,500,553.5877957658779,500.0,500.0
48,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,509.00007373029337,542.0000737302934,500.0,509.00007373029337
49,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,509.0000868054667,543.8520002830041,500.0,509.0000868054667
53,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,515.0000937068266,556.0262456370882,500.0,515.0000937068266
55,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,517.00010475576,556.1074267216577,500.0,517.00010475576
54,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,521.0001745750134,599.4394424618686,500.0,521.0001745750134
40,COMP_M,5,5_0,M.USER.APP.5,6,16,6,4,None,66.65224625623961,566.5657237936773,633.2179700499169,400.0,415.0001214516267
56,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,600,624.1213640922768,600.0,600.0
57,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,600,631.210631895687,600.0,600.0
58,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,600,664.3194675540765,600.0,600.0
63,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,600,653.5877957658779,600.0,600.0
59,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,609.0000737302933,642.0000737302933,600.0,609.0000737302933
60,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,609.0000868054667,643.8520002830041,600.0,609.0000868054667
64,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,615.0000937068265,656.0262456370881,600.0,615.0000937068265
66,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,617.00010475576,656.1074267216577,600.0,617.00010475576
65,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,621.0001745750134,699.4394424618686,600.0,621.0001745750134
50,COMP_M,5,5_0,M.USER.APP.5,5,16,4,4,None,66.65224625623961,633.2179700499169,699.8702163061564,500.0,500.0
51,COMP_M,5,5_0,M.USER.APP.5,6,16,6,4,None,66.65224625623961,699.8702163061564,766.522462562396,500.0,515.0001214516267
67,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,700,724.1213640922768,700.0,700.0
68,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,700,731.210631895687,700.0,700.0
69,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,700,764.3194675540765,700.0,700.0
74,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,700,753.5877957658779,700.0,700.0
70,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,709.0000737302933,742.0000737302933,700.0,709.0000737302933
71,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,709.0000868054667,743.8520002830041,700.0,709.0000868054667
75,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,715.0000937068265,756.0262456370881,700.0,715.0000937068265
77,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,717.00010475576,756.1074267216577,700.0,717.00010475576
76,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,721.0001745750134,799.4394424618686,700.0,721.0001745750134
61,COMP_M,5,5_0,M.USER.APP.5,5,16,4,4,None,66.65224625623961,766.522462562396,833.1747088186355,600.0,600.0
78,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,800,824.1213640922768,800.0,800.0
79,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,800,831.210631895687,800.0,800.0
80,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,800,864.3194675540765,800.0,800.0
85,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,800,853.5877957658779,800.0,800.0
81,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,809.0000737302933,842.0000737302933,800.0,809.0000737302933
82,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,809.0000868054667,843.8520002830041,800.0,809.0000868054667
86,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,815.0000937068265,856.0262456370881,800.0,815.0000937068265
88,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,817.00010475576,856.1074267216577,800.0,817.00010475576
87,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,821.0001745750134,899.4394424618686,800.0,821.0001745750134
62,COMP_M,5,5_0,M.USER.APP.5,6,16,6,4,None,66.65224625623961,833.1747088186355,899.8269550748751,600.0,615.0001214516267
72,COMP_M,5,5_0,M.USER.APP.5,5,16,4,4,None,66.65224625623961,899.8269550748751,966.4792013311146,700.0,700.0
89,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,900,924.1213640922768,900.0,900.0
90,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,900,931.210631895687,900.0,900.0
91,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,900,964.3194675540765,900.0,900.0
96,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,900,953.5877957658779,900.0,900.0
92,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,909.0000737302933,942.0000737302933,900.0,909.0000737302933
93,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,909.0000868054667,943.8520002830041,900.0,909.0000868054667
97,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,915.0000937068265,956.0262456370881,900.0,915.0000937068265
99,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,917.00010475576,956.1074267216577,900.0,917.00010475576
98,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,921.0001745750134,999.4394424618686,900.0,921.0001745750134
73,COMP_M,5,5_0,M.USER.APP.5,6,16,6,4,None,66.65224625623961,966.4792013311146,1033.1314475873542,700.0,715.0001214516267
100,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,1000,1024.1213640922767,1000.0,1000.0
101,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,1000,1031.2106318956871,1000.0,1000.0
102,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,1000,1064.3194675540765,1000.0,1000.0
107,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,1000,1053.587795765878,1000.0,1000.0
103,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,1009.0000737302933,1042.0000737302933,1000.0,1009.0000737302933
104,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,1009.0000868054667,1043.8520002830041,1000.0,1009.0000868054667
108,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,1015.0000937068265,1056.026245637088,1000.0,1015.0000937068265
110,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,1017.00010475576,1056.1074267216577,1000.0,1017.00010475576
109,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,1021.0001745750134,1099.4394424618686,1000.0,1021.0001745750134
83,COMP_M,5,5_0,M.USER.APP.5,5,16,4,4,None,66.65224625623961,1033.1314475873542,1099.7836938435937,800.0,800.0
84,COMP_M,5,5_0,M.USER.APP.5,6,16,6,4,None,66.65224625623961,1099.7836938435937,1166.4359400998333,800.0,815.0001214516267
111,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,1100,1124.1213640922767,1100.0,1100.0
112,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,1100,1131.2106318956871,1100.0,1100.0
113,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,1100,1164.3194675540765,1100.0,1100.0
118,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,1100,1153.587795765878,1100.0,1100.0
114,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,1109.0000737302935,1142.0000737302935,1100.0,1109.0000737302935
115,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,1109.0000868054667,1143.8520002830041,1100.0,1109.0000868054667
119,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,1115.0000937068266,1156.026245637088,1100.0,1115.0000937068266
121,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,1117.0001047557598,1156.1074267216575,1100.0,1117.0001047557598
120,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,1121.0001745750133,1199.4394424618686,1100.0,1121.0001745750133
94,COMP_M,5,5_0,M.USER.APP.5,5,16,4,4,None,66.65224625623961,1166.4359400998333,1233.0881863560728,900.0,900.0
122,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,1200,1224.1213640922767,1200.0,1200.0
123,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,1200,1231.2106318956871,1200.0,1200.0
124,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,1200,1264.3194675540765,1200.0,1200.0
129,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,1200,1253.587795765878,1200.0,1200.0
125,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,1209.0000737302935,1242.0000737302935,1200.0,1209.0000737302935
126,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,1209.0000868054667,1243.8520002830041,1200.0,1209.0000868054667
130,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,1215.0000937068266,1256.026245637088,1200.0,1215.0000937068266
132,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,1217.0001047557598,1256.1074267216575,1200.0,1217.0001047557598
131,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,1221.0001745750133,1299.4394424618686,1200.0,1221.0001745750133
95,COMP_M,5,5_0,M.USER.APP.5,6,16,6,4,None,66.65224625623961,1233.0881863560728,1299.7404326123124,900.0,915.0001214516267
105,COMP_M,5,5_0,M.USER.APP.5,5,16,4,4,None,66.65224625623961,1299.7404326123124,1366.392678868552,1000.0,1000.0
133,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,1300,1324.1213640922767,1300.0,1300.0
134,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,1300,1331.2106318956871,1300.0,1300.0
135,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,1300,1364.3194675540765,1300.0,1300.0
140,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,1300,1353.587795765878,1300.0,1300.0
136,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,1309.0000737302935,1342.0000737302935,1300.0,1309.0000737302935
137,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,1309.0000868054667,1343.8520002830041,1300.0,1309.0000868054667
141,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,1315.0000937068266,1356.026245637088,1300.0,1315.0000937068266
143,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,1317.0001047557598,1356.1074267216575,1300.0,1317.0001047557598
142,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,1321.0001745750133,1399.4394424618686,1300.0,1321.0001745750133
106,COMP_M,5,5_0,M.USER.APP.5,6,16,6,4,None,66.65224625623961,1366.392678868552,1433.0449251247915,1000.0,1015.0001214516267
144,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,1400,1424.1213640922767,1400.0,1400.0
145,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,1400,1431.2106318956871,1400.0,1400.0
146,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,1400,1464.3194675540765,1400.0,1400.0
151,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,1400,1453.587795765878,1400.0,1400.0
147,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,1409.0000737302935,1442.0000737302935,1400.0,1409.0000737302935
148,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,1409.0000868054667,1443.8520002830041,1400.0,1409.0000868054667
152,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,1415.0000937068266,1456.026245637088,1400.0,1415.0000937068266
154,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,1417.0001047557598,1456.1074267216575,1400.0,1417.0001047557598
153,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,1421.0001745750133,1499.4394424618686,1400.0,1421.0001745750133
116,COMP_M,5,5_0,M.USER.APP.5,5,16,4,4,None,66.65224625623961,1433.0449251247915,1499.697171381031,1100.0,1100.0
117,COMP_M,5,5_0,M.USER.APP.5,6,16,6,4,None,66.65224625623961,1499.697171381031,1566.3494176372706,1100.0,1115.0001214516267
155,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,1500,1524.1213640922767,1500.0,1500.0
156,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,1500,1531.2106318956871,1500.0,1500.0
157,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,1500,1564.3194675540765,1500.0,1500.0
162,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,1500,1553.587795765878,1500.0,1500.0
158,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,1509.0000737302935,1542.0000737302935,1500.0,1509.0000737302935
159,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,1509.0000868054667,1543.8520002830041,1500.0,1509.0000868054667
163,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,1515.0000937068266,1556.026245637088,1500.0,1515.0000937068266
165,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,1517.0001047557598,1556.1074267216575,1500.0,1517.0001047557598
164,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,1521.0001745750133,1599.4394424618686,1500.0,1521.0001745750133
127,COMP_M,5,5_0,M.USER.APP.5,5,16,4,4,None,66.65224625623961,1566.3494176372706,1633.00166389351,1200.0,1200.0
166,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,1600,1624.1213640922767,1600.0,1600.0
167,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,1600,1631.2106318956871,1600.0,1600.0
168,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,1600,1664.3194675540765,1600.0,1600.0
173,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,1600,1653.587795765878,1600.0,1600.0
169,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,1609.0000737302935,1642.0000737302935,1600.0,1609.0000737302935
170,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,1609.0000868054667,1643.8520002830041,1600.0,1609.0000868054667
174,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,1615.0000937068266,1656.026245637088,1600.0,1615.0000937068266
176,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,1617.0001047557598,1656.1074267216575,1600.0,1617.0001047557598
175,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,1621.0001745750133,1699.4394424618686,1600.0,1621.0001745750133
128,COMP_M,5,5_0,M.USER.APP.5,6,16,6,4,None,66.65224625623961,1633.00166389351,1699.6539101497497,1200.0,1215.0001214516267
138,COMP_M,5,5_0,M.USER.APP.5,5,16,4,4,None,66.65224625623961,1699.6539101497497,1766.3061564059892,1300.0,1300.0
177,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,1700,1724.1213640922767,1700.0,1700.0
178,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,1700,1731.2106318956871,1700.0,1700.0
179,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,1700,1764.3194675540765,1700.0,1700.0
184,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,1700,1753.587795765878,1700.0,1700.0
180,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,1709.0000737302935,1742.0000737302935,1700.0,1709.0000737302935
181,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,1709.0000868054667,1743.8520002830041,1700.0,1709.0000868054667
185,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,1715.0000937068266,1756.026245637088,1700.0,1715.0000937068266
187,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,1717.0001047557598,1756.1074267216575,1700.0,1717.0001047557598
186,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,1721.0001745750133,1799.4394424618686,1700.0,1721.0001745750133
139,COMP_M,5,5_0,M.USER.APP.5,6,16,6,4,None,66.65224625623961,1766.3061564059892,1832.9584026622288,1300.0,1315.0001214516267
188,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,1800,1824.1213640922767,1800.0,1800.0
189,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,1800,1831.2106318956871,1800.0,1800.0
190,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,1800,1864.3194675540765,1800.0,1800.0
195,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,1800,1853.587795765878,1800.0,1800.0
191,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,1809.0000737302935,1842.0000737302935,1800.0,1809.0000737302935
192,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,1809.0000868054667,1843.8520002830041,1800.0,1809.0000868054667
196,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,1815.0000937068266,1856.026245637088,1800.0,1815.0000937068266
198,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,1817.0001047557598,1856.1074267216575,1800.0,1817.0001047557598
197,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,1821.0001745750133,1899.4394424618686,1800.0,1821.0001745750133
149,COMP_M,5,5_0,M.USER.APP.5,5,16,4,4,None,66.65224625623961,1832.9584026622288,1899.6106489184683,1400.0,1400.0
150,COMP_M,5,5_0,M.USER.APP.5,6,16,6,4,None,66.65224625623961,1899.6106489184683,1966.2628951747079,1400.0,1415.0001214516267
199,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,1900,1924.1213640922767,1900.0,1900.0
200,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,1900,1931.2106318956871,1900.0,1900.0
201,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,1900,1964.3194675540765,1900.0,1900.0
206,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,1900,1953.587795765878,1900.0,1900.0
202,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,1909.0000737302935,1942.0000737302935,1900.0,1909.0000737302935
203,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,1909.0000868054667,1943.8520002830041,1900.0,1909.0000868054667
207,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,1915.0000937068266,1956.026245637088,1900.0,1915.0000937068266
209,COMP_M,9,9_0,M.USER.APP.9,10,20,4,8,None,39.10732196589769,1917.0001047557598,1956.1074267216575,1900.0,1917.0001047557598
208,COMP_M,8,8_0,M.USER.APP.8,9,19,6,4,None,78.43926788685525,1921.0001745750133,1999.4394424618686,1900.0,1921.0001745750133
160,COMP_M,5,5_0,M.USER.APP.5,5,16,4,4,None,66.65224625623961,1966.2628951747079,2032.9151414309474,1500.0,1500.0
210,COMP_M,0,0_0,M.USER.APP.0,0,11,8,8,None,24.12136409227683,2000,2024.1213640922767,2000.0,2000.0
211,COMP_M,1,1_0,M.USER.APP.1,1,12,8,8,None,31.21063189568706,2000,2031.2106318956871,2000.0,2000.0
212,COMP_M,2,2_0,M.USER.APP.2,2,13,4,4,None,64.31946755407654,2000,2064.3194675540767,2000.0,2000.0
217,COMP_M,6,6_0,M.USER.APP.6,7,17,6,6,None,53.58779576587796,2000,2053.587795765878,2000.0,2000.0
213,COMP_M,3,3_0,M.USER.APP.3,3,14,4,6,None,33.0,2009.0000737302935,2042.0000737302935,2000.0,2009.0000737302935
214,COMP_M,4,4_0,M.USER.APP.4,4,15,6,4,None,34.85191347753744,2009.0000868054667,2043.8520002830041,2000.0,2009.0000868054667
218,COMP_M,7,7_0,M.USER.APP.7,8,18,4,6,None,41.02615193026152,2015.0000937068266,2056.0262456370883,2000.0,2015.0000937068266
